iter	RMSE
142	1.336381372
143	1.335283743
144	1.333979593
145	1.332643903
146	1.330311987
147	1.328482407
148	1.326964675
149	1.325926231
150	1.324516634
151	1.323113803
152	1.321549028
153	1.320164041
154	1.318542728
155	1.31631724
156	1.315455559
157	1.313950192
158	1.312826326
159	1.310303148
160	1.309187708
161	1.307951456
162	1.306352909
163	1.304404864
164	1.303567267
165	1.302464411
166	1.301462229
167	1.299472197
168	1.298463197
169	1.297163807
170	1.296727402
171	1.295318346
172	1.294026789
173	1.293131861
174	1.291703977
175	1.290734064
176	1.289756469
177	1.288982495
178	1.287798565
179	1.286766943
180	1.285557137
181	1.284597522
182	1.283926888
183	1.283366926
184	1.282592503
185	1.281307668
186	1.279713876
187	1.278731883
188	1.277981884
189	1.277344862
190	1.276492747
191	1.274993431
192	1.273671734
193	1.272646105
194	1.271993871
195	1.271091159
196	1.269240138
197	1.268135218
198	1.267440484
199	1.266735188
200	1.265694818
201	1.264334732
202	1.263267383
203	1.26178868
204	1.25965094
205	1.259146151
206	1.257228199
207	1.256559119
208	1.255928389
209	1.25516134
210	1.254308064
211	1.253563621
212	1.253080592
213	1.252271104
214	1.251684106
215	1.250844945
216	1.250322197
217	1.249290511
218	1.248740988
219	1.247684519
220	1.245574118
221	1.24385068
222	1.242710112
223	1.242232553
224	1.241580519
225	1.24002908
226	1.239170571
227	1.237479432
228	1.236629552
229	1.236059746
230	1.234592735
231	1.234124525
232	1.23358856
233	1.23274258
234	1.232047398
235	1.231281099
236	1.230450172
237	1.229984816
238	1.228951417
239	1.22773407
240	1.226802697
241	1.225492083
242	1.224389218
243	1.223633152
244	1.223052989
245	1.222026745
246	1.221399681
247	1.220567511
248	1.219554498
249	1.218571486
250	1.218133365
251	1.217286028
252	1.216191536
253	1.215555627
254	1.214471806
255	1.213783431
256	1.213335157
257	1.212361139
258	1.211468946
259	1.21113423
260	1.210229127
261	1.209289147
262	1.20850993
263	1.208067388
264	1.207007417
265	1.206302805
266	1.206002506
267	1.204293335
268	1.20270993
269	1.201612171
270	1.200221426
271	1.198804324
272	1.197577371
273	1.196680116
274	1.196188873
275	1.195562826
276	1.194168156
277	1.193573708
278	1.192721773
279	1.192151324
280	1.191506904
281	1.190870108
282	1.189605873
283	1.189216629
284	1.188607151
285	1.188057232
286	1.187516744
287	1.187024661
288	1.18634187
289	1.18539428
290	1.184193375
291	1.183354543
292	1.182710793
293	1.182165059
294	1.181565756
295	1.180201122
296	1.17995838
297	1.179498737
298	1.178702846
299	1.177614711
300	1.176928069
301	1.17645866
302	1.175925215
303	1.173985922
304	1.173585176
305	1.172527659
306	1.171714039
307	1.170365091
308	1.169866492
309	1.169662591
310	1.168373133
311	1.167920335
312	1.166987582
313	1.166324093
314	1.165736918
315	1.164472477
316	1.163678252
317	1.162700797
318	1.16184237
319	1.160920976
320	1.160410044
321	1.159336611
322	1.158109213
323	1.157640738
324	1.157179339
325	1.156667134
326	1.155824534
327	1.154972576
328	1.154051313
329	1.153174289
330	1.152149339
331	1.150830084
332	1.150065058
333	1.149508936
334	1.149046505
335	1.148582522
336	1.147730341
337	1.1470007
338	1.146436124
339	1.14600985
340	1.145664135
341	1.144802936
342	1.143830038
343	1.142960487
344	1.142402677
345	1.141585329
346	1.140565305
347	1.14007104
348	1.138844537
349	1.138256336
350	1.137789006
351	1.136944159
352	1.136609961
353	1.136079231
354	1.135313839
355	1.134130686
356	1.133640197
357	1.132844148
358	1.132440646
359	1.131283253
360	1.130892736
361	1.130122677
362	1.129193949
363	1.127974284
364	1.127416185
365	1.127043403
366	1.126674081
367	1.126321926
368	1.125693677
369	1.125286243
370	1.124576666
371	1.123627811
372	1.122949026
373	1.122151436
374	1.121596763
375	1.121147646
376	1.120375864
377	1.11961521
378	1.118230884
379	1.117814022
380	1.117064338
381	1.116645871
382	1.116268199
383	1.11569768
384	1.115455916
385	1.114787768
386	1.114261025
387	1.113904775
388	1.113609044
389	1.11305808
390	1.111881489
391	1.111519778
392	1.110678186
393	1.110241382
394	1.109024702
395	1.108457729
396	1.108075703
397	1.107780058
398	1.107290934
399	1.106718548
400	1.105893865
401	1.105267436
402	1.104605906
403	1.103703079
404	1.103285684
405	1.102418996
406	1.10177527
407	1.100974343
408	1.100623527
409	1.100270061
410	1.099841418
411	1.099065009
412	1.098421222
413	1.097848684
414	1.097517741
415	1.096633419
416	1.096364189
417	1.09609046
418	1.095619403
419	1.095394354
420	1.095068563
421	1.094717174
422	1.094355905
423	1.093555456
424	1.092578283
425	1.09145126
426	1.091113073
427	1.090901373
428	1.090582155
429	1.089868201
430	1.089006153
431	1.088449574
432	1.087976354
433	1.087507154
434	1.087097009
435	1.086417241
436	1.086033562
437	1.085936605
438	1.085698553
439	1.085497905
440	1.085230928
441	1.084551545
442	1.083706532
443	1.08318265
444	1.082724804
445	1.082266334
446	1.081838768
447	1.08116944
448	1.080015285
449	1.079657169
450	1.079368967
451	1.078997234
452	1.07856983
453	1.078428482
454	1.077923126
455	1.077172779
456	1.07686559
457	1.076335274
458	1.075749838
459	1.07518618
460	1.074803217
461	1.074336116
462	1.073372329
463	1.072806368
464	1.072462974
465	1.071935892
466	1.07152423
467	1.071100193
468	1.070493336
469	1.070145536
470	1.069637935
471	1.069218836
472	1.068770391
473	1.068437379
474	1.067998857
475	1.067771744
476	1.067151805
477	1.066742867
478	1.066415858
479	1.065962578
480	1.065597767
481	1.064443736
482	1.063716467
483	1.063347899
484	1.063060315
485	1.062772994
486	1.062423129
487	1.06177682
488	1.061268062
489	1.060645597
490	1.060343075
491	1.060200724
492	1.059686858
493	1.058883877
494	1.058252819
495	1.057430986
496	1.056754908
497	1.056151553
498	1.055492788
499	1.055128388
500	1.054886286
501	1.054614257
502	1.054135537
503	1.053742567
504	1.053277573
505	1.052966158
506	1.052620088
507	1.051916553
508	1.051522124
509	1.051248513
510	1.050940967
511	1.050678432
512	1.050549571
513	1.050174536
514	1.049695107
515	1.049364092
516	1.048791229
517	1.048491928
518	1.048240128
519	1.047885345
520	1.047790397
521	1.047002235
522	1.046819807
523	1.046626925
524	1.046250366
525	1.045697902
526	1.045322602
527	1.044508837
528	1.044272592
529	1.043664574
530	1.042770294
531	1.042020473
532	1.041209725
533	1.040819782
534	1.040415086
535	1.039836281
536	1.039474202
537	1.03927351
538	1.039185192
539	1.038875983
540	1.038400484
541	1.038097452
542	1.037869982
543	1.037425533
544	1.036732347
545	1.036574587
546	1.035659964
547	1.035351157
548	1.034721644
549	1.034178631
550	1.033827953
551	1.033297757
552	1.033077668
553	1.032576017
554	1.03235621
555	1.032053602
556	1.031716049
557	1.031205494
558	1.030755367
559	1.03049002
560	1.029843945
561	1.02948072
562	1.029080058
563	1.028754269
564	1.028541658
565	1.028084908
566	1.027868944
567	1.027531037
568	1.027035801
569	1.026943371
570	1.026293759
571	1.025718595
572	1.025463896
573	1.024849557
574	1.024566961
575	1.023895754
576	1.023716863
577	1.023262881
578	1.022912572
579	1.022633119
580	1.022248745
581	1.021995545
582	1.021375226
583	1.021152355
584	1.020697321
585	1.020262858
586	1.019994612
587	1.019407461
588	1.018889493
589	1.018637583
590	1.017976095
591	1.017577986
592	1.017150019
593	1.01682229
594	1.016506524
595	1.016364409
596	1.016016825
597	1.01584926
598	1.0154496
599	1.014770599
600	1.014326112
601	1.014138968
602	1.013660623
603	1.01326046
604	1.013028483
605	1.012610978
606	1.01233488
607	1.011974829
608	1.011320523
609	1.01086053
610	1.010646726
611	1.009801301
612	1.009383523
613	1.008940569
614	1.008870918
615	1.008543898
616	1.008045931
617	1.007786788
618	1.007547086
619	1.007260271
620	1.006966923
621	1.006548292
622	1.006197522
623	1.005848975
624	1.005491479
625	1.004974631
626	1.004740707
627	1.004617491
628	1.004513634
629	1.004117096
630	1.003913183
631	1.003485579
632	1.003155609
633	1.00272401
634	1.002558569
635	1.002239543
636	1.001702974
637	1.001581889
638	1.001448445
639	1.00121753
640	1.001063543
641	1.00069378
642	1.000455116
643	1.000306161
644	1.000061486
645	0.9997622601
646	0.9993133857
647	0.9987460986
648	0.9981561427
649	0.9977492479
650	0.9970471286
651	0.9965689651
652	0.9961856271
653	0.9959786798
654	0.9956902649
655	0.9954303631
656	0.9952253939
657	0.9948737163
658	0.9946634371
659	0.9945475911
660	0.9942827478
661	0.9941092431
662	0.9937959942
663	0.9936650642
664	0.993245425
665	0.9931328408
666	0.9929860265
667	0.9925707375
668	0.9923766202
669	0.9920156801
670	0.9918278518
671	0.9913356629
672	0.9909757526
673	0.9907170322
674	0.9905389058
675	0.9901616451
676	0.9897205913
677	0.9894648427
678	0.9891335412
679	0.9884227379
680	0.988154229
681	0.9876020399
682	0.9870915566
683	0.9867142557
684	0.9864977237
685	0.9861832598
686	0.9856612407
687	0.9855359651
688	0.9844132807
689	0.9841666392
690	0.9840880759
691	0.9839315023
692	0.9835674282
693	0.9834364872
694	0.9832121155
695	0.9829787994
696	0.9826797452
697	0.9823299897
698	0.9816161585
699	0.9813667103
700	0.9810594166
701	0.9807386091
702	0.9804054111
703	0.9802311387
704	0.9800456911
705	0.9797853804
706	0.9795447598
707	0.9794067219
708	0.9790976195
709	0.9788142883
710	0.9784107474
711	0.9779646247
712	0.9772538318
713	0.9770286005
714	0.976725148
715	0.9763960762
716	0.9760804456
717	0.9758141473
718	0.9756335423
719	0.9746928664
720	0.9745064186
721	0.9741506551
722	0.9739621578
723	0.9737540562
724	0.9734486921
725	0.973238191
726	0.9729784931
727	0.972562395
728	0.9721540151
729	0.9716902856
730	0.9713563265
731	0.971175378
732	0.9710767754
733	0.9708077721
734	0.9706034443
735	0.9703745076
736	0.969970698
737	0.9697650155
738	0.9695506187
739	0.9693477879
740	0.968979883
741	0.9687096811
742	0.968388247
743	0.9679224353
744	0.9675229517
745	0.967366532
746	0.9671704873
747	0.9669191178
748	0.9665418175
749	0.9662977845
750	0.9662279498
751	0.9657109626
752	0.9653466043
753	0.9646777837
754	0.964079918
755	0.9637978514
756	0.9635323191
757	0.9631638177
758	0.9629980699
759	0.9624529633
760	0.9623073889
761	0.9620255921
762	0.9617196666
763	0.9614203113
764	0.9611107198
765	0.9609520373
766	0.9607740728
767	0.9605086498
768	0.9603607885
769	0.9601459502
770	0.9597182709
771	0.9595084345
772	0.9591615539
773	0.9590497908
774	0.9588421591
775	0.9587482573
776	0.9584418381
777	0.9579595799
778	0.9577062338
779	0.9573429785
780	0.9570541289
781	0.956234635
782	0.956029873
783	0.9559049232
784	0.9555908581
785	0.9554342768
786	0.9552855792
787	0.9552036439
788	0.9549123549
789	0.9546987428
790	0.9545294213
791	0.9541865236
792	0.954027352
793	0.9539515737
794	0.9538185204
795	0.9536018466
796	0.9532778776
797	0.9531587084
798	0.9529900025
799	0.9526474138
800	0.9524629823
801	0.9522758303
802	0.9520754651
803	0.9520153922
804	0.951630628
805	0.951449143
806	0.9510357186
807	0.9508597478
808	0.9503317673
809	0.9501788606
810	0.9498463691
811	0.9494222987
812	0.9489792809
813	0.948495072
814	0.9483174517
815	0.9478516725
816	0.9476969615
817	0.9476246699
818	0.947256291
819	0.9468557575
820	0.9466420034
821	0.9461563621
822	0.9459697474
823	0.9457691326
824	0.9453236515
825	0.9449131109
826	0.9446302002
827	0.9444783109
828	0.9440451949
829	0.9435805461
830	0.9433319068
831	0.943066109
832	0.9429185605
833	0.9426396132
834	0.9421987645
835	0.9418733237
836	0.9417225447
837	0.9415800772
838	0.941447383
839	0.9412029827
840	0.9410455659
841	0.9408144602
842	0.9407836202
843	0.9403634781
844	0.9402894581
845	0.9399857791
846	0.939308233
847	0.9388672674
848	0.9386699504
849	0.9384996441
850	0.9382891401
851	0.9381918123
852	0.9381062567
853	0.9378522825
854	0.9375968448
855	0.9369285729
856	0.9365441212
857	0.9361195385
858	0.9355454485
859	0.9354727167
860	0.9353108864
861	0.9349478077
862	0.9345414493
863	0.9344207001
864	0.9341220677
865	0.9338919517
866	0.9337051713
867	0.933642987
868	0.9332133492
869	0.9330173732
870	0.9328459926
871	0.9324226567
872	0.9323361066
873	0.9321679835
874	0.9321457877
875	0.9319354025
876	0.9317865272
877	0.9316917238
878	0.9313228386
879	0.9309277163
880	0.9307333973
881	0.9305251255
882	0.9302309883
883	0.9300399834
884	0.9297061635
885	0.929564185
886	0.9292943788
887	0.9291449256
888	0.9289447296
889	0.9288542816
890	0.9285314544
891	0.9283975635
892	0.9279778858
893	0.9278614911
894	0.9276775683
895	0.9273120768
896	0.9270984344
897	0.9268767863
898	0.9266064681
899	0.9264430679
900	0.9261163767
901	0.9258530504
902	0.9257859004
903	0.9255598744
904	0.9253710535
905	0.9251306347
906	0.9250215673
907	0.924839701
908	0.9247652511
909	0.9245333368
910	0.9244466947
911	0.9239559407
912	0.9235972496
913	0.9232841438
914	0.9231217847
915	0.9229343391
916	0.9227133728
917	0.9226517512
918	0.9225280998
919	0.9223795978
920	0.9220629766
921	0.9217231447
922	0.9214791319
923	0.9213632567
924	0.9210776407
925	0.9207934467
926	0.9206703506
927	0.9205268186
928	0.9203141898
929	0.9201456193
930	0.919854024
931	0.9197082219
932	0.9193911024
933	0.9192755312
934	0.9191708038
935	0.9191347441
936	0.9188440055
937	0.9186687217
938	0.9183743636
939	0.918246026
940	0.9179300671
941	0.9175060493
942	0.9173348843
943	0.9171437929
944	0.916848324
945	0.9166027262
946	0.9164734079
947	0.9163636788
948	0.915866436
949	0.9157435905
950	0.9156411245
951	0.9155136534
952	0.9150792738
953	0.9146439893
954	0.9144316319
955	0.9142037191
956	0.9137926317
957	0.913500899
958	0.9133428356
959	0.9132636034
960	0.9125829878
961	0.9124065501
962	0.9122064247
963	0.9119910372
964	0.9118640354
965	0.9117212892
966	0.9114125527
967	0.9112265982
968	0.9107649964
969	0.9106474032
970	0.9103493175
971	0.9101630216
972	0.9097079867
973	0.9095558491
974	0.9092785466
975	0.9091355427
976	0.908938701
977	0.9088480589
978	0.9086772622
979	0.9086075491
980	0.908514159
981	0.9084157853
982	0.908198488
983	0.9078619994
984	0.9076923734
985	0.9072649179
986	0.9070179191
987	0.9067849923
988	0.9065570434
989	0.9063861701
990	0.9060451338
991	0.9059775471
992	0.9058956523
993	0.9057317659
994	0.9054336541
995	0.9053191127
996	0.9051573632
997	0.9049356967
998	0.9046875647
999	0.9045627418
